source,target,weight
Chor Der Engel,Chor Der Jünger,1
Chor Der Engel,Chor Der Weiber,1
Chor Der Engel,Faust,1
Chor Der Engel,Geist,1
Chor Der Engel,Wagner,1
Chor Der Jünger,Chor Der Weiber,1
Chor Der Jünger,Faust,1
Chor Der Jünger,Geist,1
Chor Der Jünger,Wagner,1
Chor Der Weiber,Faust,1
Chor Der Weiber,Geist,1
Chor Der Weiber,Wagner,1
Faust,Geist,1
Faust,Wagner,2
Geist,Wagner,1
Alle,Alte,1
Alle,Alter Bauer,1
Alle,Andre,1
Alle,Andrer Bürger,1
Alle,Bettler,1
Alle,Bürger,1
Alle,Bürgermädchen,1
Alle,Die Andre,1
Alle,Die Ersten,1
Alle,Die Zweiten,1
Alle,Dienstmädchen,1
Alle,Dritter Bürger,1
Alle,Ein Dritter,1
Alle,Ein Handwerksbursch,1
Alle,Einige Handwerksburschen,1
Alle,Erste,1
Alle,Erster,1
Alle,Faust,3
Alle,Fünfter,1
Alle,Schüler,1
Alle,Soldaten,1
Alle,Vierter,1
Alle,Wagner,1
Alle,Zweiter,1
Alle,Zweiter Schüler,1
Alte,Alter Bauer,1
Alte,Andre,1
Alte,Andrer Bürger,1
Alte,Bettler,1
Alte,Bürger,1
Alte,Bürgermädchen,1
Alte,Die Andre,1
Alte,Die Ersten,1
Alte,Die Zweiten,1
Alte,Dienstmädchen,1
Alte,Dritter Bürger,1
Alte,Ein Dritter,1
Alte,Ein Handwerksbursch,1
Alte,Einige Handwerksburschen,1
Alte,Erste,1
Alte,Erster,1
Alte,Faust,1
Alte,Fünfter,1
Alte,Schüler,1
Alte,Soldaten,1
Alte,Vierter,1
Alte,Wagner,1
Alte,Zweiter,1
Alte,Zweiter Schüler,1
Alter Bauer,Andre,1
Alter Bauer,Andrer Bürger,1
Alter Bauer,Bettler,1
Alter Bauer,Bürger,1
Alter Bauer,Bürgermädchen,1
Alter Bauer,Die Andre,1
Alter Bauer,Die Ersten,1
Alter Bauer,Die Zweiten,1
Alter Bauer,Dienstmädchen,1
Alter Bauer,Dritter Bürger,1
Alter Bauer,Ein Dritter,1
