id,label
Tanzmeister,Character
Greif,Character
Nordischer Künstler,Character
Erster Kundschafter,Character
Erzkanzler,Character
Vierter,Character
Halbhexe,Character
Andre Hälfte,Character
Sphinxe,Character
Purist,Character
Parvenu,Character
Pater Seraphicus,Character
Volk,Character
Lamien,Character
Baccalaureus,Character
Phantasiekranz,Character
Lynkeus Der Türmer,Character
Hexen Im Chor,Character
Deputation Der Gnomen,Character
Euphorions Stimme,Character
Vierte,Character
Ältere,Character
Satiriker,Character
Stimme,Character
Dame,Character
Holzhauer,Character
Die Jüngeren Engel,Character
Puck,Character
Xenien,Character
Dienstmädchen,Character
Haltefest,Character
Choretide 3,Character
Ein Teil Des Chors,Character
Erster Trabant,Character
Peneios,Character
Die Jünglinge,Character
Der Geistliche,Character
Baucis,Character
Geist,Character
Ariel,Character
Chorus Mysticus,Character
Erster,Character
Wagner,Character
Frosch,Character
Die Tiere,Character
Heermeister,Character
Furcht,Character
Chiron,Character
Fünfte,Character
Daktyle,Character
Trödelhexe,Character
Zweiter,Character
Engel,Character
Soldaten,Character
Zweiter Junker,Character
Die Vorigen,Character
Riesen,Character
Beide Chöre,Character
Erichtho,Character
Erzkämmerer,Character
Selige Knaben,Character
Phantasiestrauss,Character
Herold,Character
Sirenen,Character
Ein Andrer,Character
Der Abgemagerte,Character
Bannerherr,Character
Schatzmeister,Character
Weltkind,Character
Geiz,Character
Famulus,Character
Knabe Lenker,Character
Homunculus,Character
Die Gesellen,Character
Älteste,Character
Mephistopheles,Character
Zweiter Schüler,Character
Mater Gloriosa,Character
Hexen,Character
Olivenzweig Mit Früchten,Character
Chor Seliger Knaben,Character
Chor Und Echo,Character
Windfahne,Character
Bürger,Character
Irrlicht,Character
Nymphen,Character
Der Kater,Character
Die Eine Büsserin,Character
Die Gewandten,Character
Valentin,Character
Matrone,Character
Servibilis,Character
Architekt,Character
Raufebold,Character
Plutus,Character
Euphrosyne,Character
Derselbe,Character
Gemurmel Der Menge,Character
Choretide 1,Character
Die Drei,Character
Klotho,Character
Die Vollendeteren Engel,Character
Ein Dritter,Character
Proktophantasmist,Character
Ameisen,Character
Junge Dame,Character
Choretide 2,Character
Sorge,Character
Mädchen,Character
Erztruchsess,Character
Minister,Character
Pater Profundus,Character
Alle,Character
Erste,Character
Supernaturalist,Character
Ährenkranz,Character
Chor,Character
Hexenmeister,Character
Titania,Character
Poet,Character
Alte,Character
Junker,Character
Obergen,Character
Manto,Character
Phorkyaden,Character
Die Andern,Character
Choretide 6,Character
Page,Character
Junge Hexe,Character
Eilebeute,Character
Telchinen,Character
Erzschenk,Character
Erzmarschall,Character
Chor Der Ameisen,Character
Kranich,Character
Türmer,Character
Ältere Dame,Character
Choretide 4,Character
Ein Handwerksbursch,Character
Chor Der Jünger,Character
Oberon,Character
Kämmerer,Character
Dritter Bürger,Character
Schüler,Character
Realist,Character
Nymphen Im Chor,Character
Einige Handwerksburschen,Character
Chor Der Weiber,Character
General,Character
Dogmatiker,Character
Solo,Character
Galatee,Character
Doctor Marianus,Character
Marschalk,Character
Habebald,Character
Kapellmeister,Character
Ein Andrer Teil,Character
Pulcinelle,Character
Idealist,Character
Zweiter Greif,Character
Parasiten,Character
Kaiser,Character
Chorführerin,Character
Nereus,Character
Autor,Character
Chor Der Insekten,Character
Geisterchor,Character
Getümmel Und Gesang,Character
Die Massiven,Character
Mulier Samaritana,Character
Echo,Character
Atropos,Character
Andre,Character
Arimaspen,Character
Gemurmel,Character
Lieschen,Character
Mephistopheles Und Die Dreie,Character
Seismos,Character
Panthalis,Character
Gärtner,Character
Faust,Character
Klugheit,Character
Eine,Character
Zweiter Kundschafter,Character
Lemuren,Character
Turmwächter Lynkeus,Character
Greife,Character
Chor Der Hexen,Character
Helena Und Faust,Character
Herolde,Character
Bacc,Character
Blondine,Character
Skeptiker,Character
Chorus,Character
Narr,Character
Magna Peccatrix,Character
Geschrei Und Gedräng,Character
Megära,Character
Psyllen Und Marsen,Character
Zu Drei,Character
Dritte,Character
Musaget,Character
Schuld,Character
Anaxagoras,Character
Mephistoph,Character
Kanzler,Character
Hegemone,Character
Maria Aegyptiaca,Character
Kater Und Kätzin,Character
Weibergeklatsch,Character
Lynkeus,Character
Mangel,Character
Theatermeister,Character
Altm,Character
Astrolog,Character
Mutter,Character
Die Drei Gewaltigen Gesellen,Character
Rosenknospen,Character
Orchester,Character
Der Kaiser,Character
Brander,Character
Aglaia,Character
Irrlichter,Character
Andrer,Character
Satyr,Character
Trabanten,Character
Himmlische Heerschar,Character
Una Poenitentium,Character
Gretchen,Character
Bettler,Character
Knabe Wagenlenker,Character
Choretide 5,Character
Zweite,Character
Sternschnuppe,Character
Duenna,Character
Wildgesang,Character
Margarete,Character
Tisiphone,Character
Euphorion,Character
Die Zweiten,Character
Dryas,Character
Alter Bauer,Character
Weiber In Masse,Character
Not,Character
Siebel,Character
Die Alte,Character
Trunkner,Character
Die Unbehülflichen,Character
Pater Ecstaticus,Character
Helena,Character
Ritter,Character
Hauptweib,Character
Tänzer,Character
Die Hexe,Character
Die Seligen Knaben,Character
Wechselgeschrei Der Menge,Character
Sechste,Character
Gärtnerinnen,Character
Hoffnung,Character
Ein Dritter Teil,Character
Proteus,Character
Fideler,Character
Chor Der Büsserinnen,Character
Oreas,Character
Pygmäen,Character
Lemur,Character
Orthodox,Character
Bürgermädchen,Character
Ein Pärchen,Character
Hofmann,Character
Fünfter,Character
Andrer Bürger,Character
Erster Greif,Character
Wandrer,Character
Die Andre,Character
Sphinx,Character
Generalissimus,Character
Philemon,Character
Alekto,Character
Die Kraniche Des Ibykus,Character
Nereiden Und Tritonen,Character
Stimmen,Character
Böser Geist,Character
Orchester Tutti,Character
Empuse,Character
Chor Der Engel,Character
Jüngere,Character
Dritter,Character
Die Ersten,Character
Marthe,Character
Ein Vierter Teil,Character
Hennings,Character
Beide,Character
Erzbischof,Character
Doriden,Character
Gnomen,Character
Die Schöne,Character
Diplomat,Character
Geister,Character
Thales,Character
Braune,Character
Neugieriger Reisender,Character
Lachesis,Character
Gelahrter,Character
Altmayer,Character
Faunen,Character
Imsen Und Daktyle,Character
Obergeneral,Character
Marschall,Character
Phorkyas,Character
