play,scene,character
Faust_I,Faust_I::Nacht.,Chor Der Jünger
Faust_I,Faust_I::Nacht.,Wagner
Faust_I,Faust_I::Nacht.,Chor Der Weiber
Faust_I,Faust_I::Nacht.,Faust
Faust_I,Faust_I::Nacht.,Chor Der Engel
Faust_I,Faust_I::Nacht.,Geist
Faust_I,Faust_I::Vor dem Tor.,Erster
Faust_I,Faust_I::Vor dem Tor.,Ein Handwerksbursch
Faust_I,Faust_I::Vor dem Tor.,Wagner
Faust_I,Faust_I::Vor dem Tor.,Dritter Bürger
Faust_I,Faust_I::Vor dem Tor.,Bürger
Faust_I,Faust_I::Vor dem Tor.,Die Zweiten
Faust_I,Faust_I::Vor dem Tor.,Alte
Faust_I,Faust_I::Vor dem Tor.,Faust
Faust_I,Faust_I::Vor dem Tor.,Schüler
Faust_I,Faust_I::Vor dem Tor.,Alter Bauer
Faust_I,Faust_I::Vor dem Tor.,Ein Dritter
Faust_I,Faust_I::Vor dem Tor.,Bürgermädchen
Faust_I,Faust_I::Vor dem Tor.,Einige Handwerksburschen
Faust_I,Faust_I::Vor dem Tor.,Vierter
Faust_I,Faust_I::Vor dem Tor.,Andre
Faust_I,Faust_I::Vor dem Tor.,Zweiter
Faust_I,Faust_I::Vor dem Tor.,Fünfter
Faust_I,Faust_I::Vor dem Tor.,Andrer Bürger
Faust_I,Faust_I::Vor dem Tor.,Dienstmädchen
Faust_I,Faust_I::Vor dem Tor.,Bettler
Faust_I,Faust_I::Vor dem Tor.,Die Ersten
Faust_I,Faust_I::Vor dem Tor.,Soldaten
Faust_I,Faust_I::Vor dem Tor.,Die Andre
Faust_I,Faust_I::Vor dem Tor.,Alle
Faust_I,Faust_I::Vor dem Tor.,Erste
Faust_I,Faust_I::Vor dem Tor.,Zweiter Schüler
Faust_I,Faust_I::Studierzimmer.,Geister
Faust_I,Faust_I::Studierzimmer.,Mephistopheles
Faust_I,Faust_I::Studierzimmer.,Faust
Faust_I,Faust_I::Studierzimmer.,Geisterchor
Faust_I,Faust_I::Studierzimmer.,Schüler
