word,freq
und,1942
ich,1434
die,1425
der,1359
das,958
nicht,919
zu,918
ein,817
ist,745
sich,731
sie,715
es,708
du,669
in,655
so,640
den,580
wie,570
er,530
mit,514
doch,507
was,490
mich,490
ihr,480
mir,465
dem,436
von,408
wir,391
auf,385
an,376
im,362
nur,332
uns,289
auch,278
da,276
euch,273
dich,252
hier,250
des,248
nun,248
als,242
man,230
wenn,229
schon,224
sind,223
dir,212
aus,203
daß,199
noch,190
denn,188
zum,183
nach,170
wird,165
hat,162
wohl,159
mein,153
ihn,147
wo,147
um,146
vor,145
für,143
war,137
sein,137
am,130
durch,129
bin,129
ihm,126
wer,122
selbst,122
sei,121
alles,120
soll,114
vom,113
gleich,108
will,108
nichts,105
kann,104
dann,104
gar,103
alle,103
zur,102
bei,101
welt,98
aber,98
o,97
muß,97
dort,92
bist,90
eine,88
mann,88
recht,85
ja,84
einen,83
weiß,83
immer,82
ins,82
allein,81
dieser,79
leben,79
ist's,79
laß,78
mehr,78
ach,77
kommt,76
allen,75
viel,74
gut,73
fort,73
hast,73
ganz,72
hab,71
mag,70
nacht,70
wieder,68
dein,68
haben,67
herr,67
kein,66
hin,65
zeit,65
gern,65
meine,63
geist,63
erst,63
seh,62
nie,61
teufel,58
jeder,57
über,57
welch,57
jetzt,56
einmal,55
steht,54
seid,54
diesen,53
tag,53
glück,52
getan,51
kraft,51
bald,51
her,51
deine,50
blick,50
diese,49
deinen,49
gott,49
andern,49
heran,48
diesem,47
alten,47
meinem,46
herrn,46
sinn,46
hand,46
einem,46
weh,45
augen,45
sonst,45
geht,44
kommen,44
wort,44
brust,44
wär,43
komm,43
meinen,43
sagen,43
fest,42
schön,42
macht,42
scheint,41
weit,41
gehn,41
seht,41
zurück,41
haus,40
genug,40
herz,40
groß,40
herzen,40
sehr,40
liegt,39
frei,39
menschen,39
jedem,39
laßt,38
sehn,38
reich,38
natur,38
deinem,38
einer,38
mutter,38
lange,37
ohne,37
kaum,37
liebe,37
dies,37
zwar,37
ganze,37
bis,36
sogleich,36
seiner,36
keine,36
habt,36
bleibt,36
seinen,35
läßt,35
lust,35
aller,35
blut,34
deiner,34
kind,34
leicht,33
großen,33
ich's,33
eben,33
erde,33
darf,33
weiter,32
frau,32
meiner,32
platz,32
unsre,31
nieder,31
ende,31
ewig,31
nein,30
frisch,30
freund,30
nah,30
schnell,30
hohen,30
gewiß,30
seine,30
schauen,29
land,29
stehn,29
schönen,29
licht,29
boden,29
sah,29
sieht,29
feuer,28
tage,28
weg,28
unter,28
warum,28
busen,28
herein,28
tausend,28
los,28
königin,28
sagt,28
volk,28
schritt,28
oft,27
eure,27
wenig,27
